Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2023-02-06T21:39:39",35.889,36.732,7.27,0.87,"MW",4.1,"Akdeniz - İskenderun Körfezi - [09.05 km] Yumurtalık (Adana)",548026
"2023-02-06T21:34:38",35.908,36.037,6.69,0.18,"ML",3.6,"Akdeniz - Antakya Körfezi - [07.11 km] Samandağ (Hatay)",543802
"2023-02-06T20:15:54",35.875,36.154,7.3,0.69,"ML",3.7,"Akdeniz - [06.48 km] Samandağ (Hatay)",543775
"2023-02-06T08:47:01",36.118,36.708,7,0.72,"ML",3.8,"Akdeniz - İskenderun Körfezi - [09.65 km] Payas (Hatay)",543570
"2023-02-06T06:34:54",37.023,37.292,7,0.46,"ML",3.5,"Pazarcık (Kahramanmaraş)",543530
"2023-01-30T05:10:04",30.165,35.942,7.17,0.69,"ML",1.6,"Akdeniz - [36.09 km] Demre (Antalya)",542929
"2023-01-26T00:35:25",32.737,36.004,6.99,0.58,"ML",2.1,"Akdeniz - [03.94 km] Anamur (Mersin)",542610
"2023-01-24T11:51:04",31.289,35.552,6.99,0.08,"ML",1.5,"Akdeniz - [115.95 km] Kumluca (Antalya)",542472
"2023-01-24T05:59:29",31.324,35.376,6.39,0.88,"ML",3.9,"Akdeniz - [131.25 km] Gazipaşa (Antalya)",542442
"2023-01-21T08:14:01",30.645,35.733,6.91,0.4,"ML",2.1,"Akdeniz - [68.79 km] Kumluca (Antalya)",542185
"2023-01-02T04:21:06",31.407,36.034,7.04,0.06,"ML",2.2,"Akdeniz - [73.33 km] Alanya (Antalya)",539962
"2023-01-01T11:09:53",30.522,36.391,7,0.39,"ML",1.2,"Akdeniz - Antalya Körfezi - [09.20 km] Kumluca (Antalya)",539899
"2022-12-30T00:23:15",31.783,34.79,7,0.78,"ML",2,"Akdeniz - [162.12 km] Gazipaşa (Antalya)",539676
"2022-12-26T12:10:12",30.106,35.778,7.01,0.62,"ML",2.4,"Akdeniz - [51.85 km] Demre (Antalya)",539431
"2022-12-25T04:22:35",30.277,36.056,7.31,0.08,"ML",1.4,"Akdeniz - [28.66 km] Finike (Antalya)",539301
"2022-12-23T17:31:36",31.238,35.827,6.82,0.26,"ML",1.8,"Akdeniz - [91.57 km] Kumluca (Antalya)",539151
"2022-12-21T03:35:12",35.634,36.369,6.51,0.32,"ML",1.5,"Akdeniz - [16.17 km] Arsuz (Hatay)",538914
"2022-12-19T23:41:54",31.35,36.125,7,0.27,"ML",1.8,"Akdeniz - [66.37 km] Alanya (Antalya)",538820
"2022-12-19T19:05:36",31.895,36.436,6.17,0.69,"ML",1.3,"Akdeniz - [13.69 km] Alanya (Antalya)",538802
"2022-12-18T13:38:20",31.957,36.37,7.02,0.15,"ML",1.7,"Akdeniz - [18.06 km] Alanya (Antalya)",538707
"2022-12-18T09:07:21",36,36.717,7,0.61,"ML",1.8,"Akdeniz - İskenderun Körfezi - [18.60 km] Yumurtalık (Adana)",538694
"2022-12-16T22:20:17",35.876,36.175,7.01,0.15,"ML",1,"Akdeniz - [07.71 km] Samandağ (Hatay)",538562
"2022-12-15T08:55:32",35.976,36.725,7.06,0.64,"ML",1.8,"Akdeniz - İskenderun Körfezi - [16.28 km] Yumurtalık (Adana)",538418
"2022-12-15T08:01:52",31.691,35.992,5.74,0.21,"ML",1.9,"Akdeniz - [62.09 km] Gazipaşa (Antalya)",538412
"2022-12-14T10:31:38",34.5,36.54,7.08,0.74,"ML",1.6,"Akdeniz - Mersin Körfezi - [16.74 km] Erdemli (Mersin)",538364
"2022-12-11T18:05:59",36.006,36.766,7.01,0.33,"ML",1.8,"Akdeniz - İskenderun Körfezi - [15.62 km] Yumurtalık (Adana)",538132
"2022-12-11T06:24:51",31.091,35.938,7,0.76,"ML",2,"Akdeniz - [73.61 km] Kumluca (Antalya)",538102
"2022-12-10T21:47:51",35.572,36.569,7.03,0.61,"ML",1.6,"Akdeniz - İskenderun Körfezi - [07.41 km] Karataş (Adana)",538073
"2022-12-08T23:00:56",31.609,35.619,5.26,0.85,"ML",2.1,"Akdeniz - [93.96 km] Gazipaşa (Antalya)",537919
